easyId,priority,points
user_170,4,600
user_138,4,600
user_135,4,600
user_89,4,600
user_175,4,600
user_132,4,600
user_88,4,600
user_191,4,600
user_5,4,600
user_187,4,600
user_139,4,600
user_113,4,600
user_121,4,600
user_18,4,600
user_75,4,600
user_193,4,600
user_158,4,600
user_188,4,600
user_180,4,600
user_43,4,600
user_104,4,600
user_87,4,600
user_195,4,600
user_35,4,600
user_29,4,600
user_30,4,600
user_91,4,600
user_15,4,600
user_61,3,500
user_1,3,500
user_55,3,500
user_171,3,500
user_157,3,500
user_105,3,500
user_36,3,500
user_103,3,500
user_50,3,500
user_23,2,200
user_34,2,200
user_133,2,200
user_161,2,200
user_9,2,200
user_84,2,200
user_190,2,200
user_126,1,100
user_168,1,100
user_63,1,100
user_81,1,100
user_147,1,100
user_79,1,100
user_7,1,100
user_137,1,100
user_85,1,100
user_101,1,100
user_120,1,100
user_71,1,100
user_102,1,100
user_194,1,100
